,Code,Company,Exchange,Ex Code
0,AL,Aluminum,New York Commodity Exchange,COMEX
1,AL.C,Aluminum Continuation,New York Commodity Exchange,COMEX
2,ALF22,Aluminum {Jan 22},New York Commodity Exchange,COMEX
3,ALG21,Aluminum {Feb 21},New York Commodity Exchange,COMEX
4,ALG22,Aluminum {Feb 22},New York Commodity Exchange,COMEX
5,ALH21,Aluminum {Mar 21},New York Commodity Exchange,COMEX
6,ALH22,Aluminum {Mar 22},New York Commodity Exchange,COMEX
7,ALJ21,Aluminum {Apr 21},New York Commodity Exchange,COMEX
8,ALK21,Aluminum {May 21},New York Commodity Exchange,COMEX
9,ALM21,Aluminum {Jun 21},New York Commodity Exchange,COMEX
10,ALN21,Aluminum {Jul 21},New York Commodity Exchange,COMEX
11,ALQ21,Aluminum {Aug 21},New York Commodity Exchange,COMEX
12,ALU21,Aluminum {Sep 21},New York Commodity Exchange,COMEX
13,ALV21,Aluminum {Oct 21},New York Commodity Exchange,COMEX
14,ALX21,Aluminum {Nov 21},New York Commodity Exchange,COMEX
15,ALZ21,Aluminum {Dec 21},New York Commodity Exchange,COMEX
16,AL,Aluminum,New York Commodity Exchange,COMEX
17,AL.C,Aluminum Continuation,New York Commodity Exchange,COMEX
18,ALF22,Aluminum {Jan 22},New York Commodity Exchange,COMEX
19,ALG21,Aluminum {Feb 21},New York Commodity Exchange,COMEX
20,ALG22,Aluminum {Feb 22},New York Commodity Exchange,COMEX
21,ALH21,Aluminum {Mar 21},New York Commodity Exchange,COMEX
22,ALH22,Aluminum {Mar 22},New York Commodity Exchange,COMEX
23,ALJ21,Aluminum {Apr 21},New York Commodity Exchange,COMEX
24,ALK21,Aluminum {May 21},New York Commodity Exchange,COMEX
25,ALM21,Aluminum {Jun 21},New York Commodity Exchange,COMEX
26,ALN21,Aluminum {Jul 21},New York Commodity Exchange,COMEX
27,ALQ21,Aluminum {Aug 21},New York Commodity Exchange,COMEX
28,ALU21,Aluminum {Sep 21},New York Commodity Exchange,COMEX
29,ALV21,Aluminum {Oct 21},New York Commodity Exchange,COMEX
30,ALX21,Aluminum {Nov 21},New York Commodity Exchange,COMEX
