,Code,Company,Exchange,Ex Code
0,A,Agilent Technologies,New York Stock Exchange,NYSE
1,AA,Alcoa Corp,New York Stock Exchange,NYSE
2,AAI-B,Arlington Asset Investment Corp [Ai/Pb],New York Stock Exchange,NYSE
3,AAI-C,Arlington Asset Investment Corp [Ai/Pc],New York Stock Exchange,NYSE
4,AAIC,Arlington Asset Investment Corp,New York Stock Exchange,NYSE
5,AAN,Aaron's Holdings CO Inc,New York Stock Exchange,NYSE
6,AAP,Advance Auto Parts Inc,New York Stock Exchange,NYSE
7,AAT,American Assets Trust,New York Stock Exchange,NYSE
8,AB,Alliancebernstein Holding LP,New York Stock Exchange,NYSE
9,ABB,Abb Ltd,New York Stock Exchange,NYSE
10,ABBV,Abbvie Inc,New York Stock Exchange,NYSE
11,ABC,Amerisourcebergen Corp,New York Stock Exchange,NYSE
12,ABEV,Ambev S.A.,New York Stock Exchange,NYSE
13,ABG,Asbury Automotive Group Inc,New York Stock Exchange,NYSE
14,ABM,ABM Industries Inc,New York Stock Exchange,NYSE
15,ABR,Arbor Realty Trust,New York Stock Exchange,NYSE
16,ABR-A,Arbor Rlty TR Inc [Abr/Pa],New York Stock Exchange,NYSE
17,ABR-B,Arbor Rlty TR Inc [Abr/Pb],New York Stock Exchange,NYSE
18,ABR-C,Arbor Rlty TR Inc [Abr/Pc],New York Stock Exchange,NYSE
19,ABT,Abbott Laboratories,New York Stock Exchange,NYSE
20,AC,Associated Capital Group Inc,New York Stock Exchange,NYSE
21,ACA,Arcosa Inc,New York Stock Exchange,NYSE
22,ACB,Aurora Cannabis Inc,New York Stock Exchange,NYSE
23,ACC,American Campus Communities Inc,New York Stock Exchange,NYSE
24,ACCO,Acco Brands Corp,New York Stock Exchange,NYSE
25,ACEL,Accel Entertainment Inc,New York Stock Exchange,NYSE
26,ACH,Aluminum Corp of China Ltd,New York Stock Exchange,NYSE
27,ACI,Albertsons Companies Inc Cl A,New York Stock Exchange,NYSE
28,ACI.U,Atlas Crest Invt Corp Unit [Acic.U],New York Stock Exchange,NYSE
29,ACM,Aecom Technology Corp,New York Stock Exchange,NYSE
30,ACN,Accenture Plc,New York Stock Exchange,NYSE
31,ACN.U,Ascendant Digital Acquisition Corp Cl A,New York Stock Exchange,NYSE
32,ACN.W,Ascendant Digital Acquisition WT,New York Stock Exchange,NYSE
33,ACND,Ascendant Digital Acquisition Corp Cl A,New York Stock Exchange,NYSE
34,ACP,Avenue Income Credit Strategies,New York Stock Exchange,NYSE
35,ACRE,Ares Commercial Real Estate Cor,New York Stock Exchange,NYSE
36,ACV,Allianzgi Diversified Income &,New York Stock Exchange,NYSE
37,ADC,Agree Realty Corp,New York Stock Exchange,NYSE
38,ADCT,Adc Therapeutics Sa,New York Stock Exchange,NYSE
39,ADM,Archer Daniels Midland,New York Stock Exchange,NYSE
40,ADNT,Adient Plc,New York Stock Exchange,NYSE
41,ADS,Alliance Data Systems Corp,New York Stock Exchange,NYSE
42,ADSW,Advanced Disposal Services Inc,New York Stock Exchange,NYSE
43,ADT,ADT Inc,New York Stock Exchange,NYSE
44,ADX,Adams Diversified Equity Fund,New York Stock Exchange,NYSE
45,AEB,Aegon N.V. Perp Cap Secs Floating Rate,New York Stock Exchange,NYSE
46,AEE,Ameren Corp,New York Stock Exchange,NYSE
47,AEFC,Aegon Funding Company Llc 5.10%,New York Stock Exchange,NYSE
48,AEG,Aegon N.V.,New York Stock Exchange,NYSE
49,AEL,American Equity Investment Life,New York Stock Exchange,NYSE
50,AEL-A,American Equity Investment Life Holding,New York Stock Exchange,NYSE
51,AEL-B,American Equity Investment Life Holding,New York Stock Exchange,NYSE
52,AEM,Agnico-Eagle Mines Ltd,New York Stock Exchange,NYSE
53,AENZ,Aenza S.A.A.,New York Stock Exchange,NYSE
54,AEO,American Eagle Outfitters,New York Stock Exchange,NYSE
55,AER,Aercap Holdings N.V.,New York Stock Exchange,NYSE
56,AES,The Aes Corp,New York Stock Exchange,NYSE
57,AFB,Alliance National Municipal,New York Stock Exchange,NYSE
58,AFC,Allied Capital Corp,New York Stock Exchange,NYSE
59,AFG,American Financial Group,New York Stock Exchange,NYSE
60,AFGB,American Financial Group Inc 5.875%,New York Stock Exchange,NYSE
61,AFGC,American Financial Group Inc 5.125%,New York Stock Exchange,NYSE
62,AFGD,American Financial Group Inc 5.625%,New York Stock Exchange,NYSE
63,AFGE,American Financial Group Inc 4.500%,New York Stock Exchange,NYSE
64,AFGH,American Financial Group Inc,New York Stock Exchange,NYSE
65,AFI,Armstrong Flooring Inc,New York Stock Exchange,NYSE
66,AFL,Aflac Inc,New York Stock Exchange,NYSE
67,AFT,Apollo Senior Floating Rate Fund Inc,New York Stock Exchange,NYSE
68,AG,First Majestic Silver,New York Stock Exchange,NYSE
69,AGCO,Agco Corp,New York Stock Exchange,NYSE
70,AGD,Alpine Global Dynamic Dividend Fund,New York Stock Exchange,NYSE
71,AGI,Alamos Gold Inc,New York Stock Exchange,NYSE
72,AGM,Federal Agricultural Mortgage Corp,New York Stock Exchange,NYSE
73,AGM-C,Federal Agricultural Mortgage Corp,New York Stock Exchange,NYSE
74,AGM-D,Federal Agricultural Mortgage Corp,New York Stock Exchange,NYSE
75,AGM-E,Federal Agricultural Mortgage Corp,New York Stock Exchange,NYSE
76,AGM-F,Federal Agricultural Mortgage Corp,New York Stock Exchange,NYSE
77,AGM.A,Federal Agricultural Mortgage Corp,New York Stock Exchange,NYSE
78,AGO,Assured Guaranty Ltd,New York Stock Exchange,NYSE
79,AGO-B,Assured Guaranty Municipal Hlds IN,New York Stock Exchange,NYSE
80,AGO-E,Assured Guaranty Municipal Hlds IN,New York Stock Exchange,NYSE
81,AGO-F,Assured Guaranty Municipal Hlds IN,New York Stock Exchange,NYSE
82,AGR,Avangrid Inc,New York Stock Exchange,NYSE
83,AGRO,Adecoagro S.A.,New York Stock Exchange,NYSE
84,AGS,Playags Inc,New York Stock Exchange,NYSE
85,AGX,Argan Inc,New York Stock Exchange,NYSE
86,AHC,A.H. Belo Corp,New York Stock Exchange,NYSE
87,AHH,Armada Hoffler Properties Inc,New York Stock Exchange,NYSE
88,AHH-A,Armada Hoffler Pptys Inc [Ahh/Pa],New York Stock Exchange,NYSE
89,AHL-C,Aspen Insurance Holdings Ltd [Ahl/Pc],New York Stock Exchange,NYSE
90,AHL-D,Aspen Insurance Holdings Ltd [Ahl/Pd],New York Stock Exchange,NYSE
91,AHL-E,Aspen Insurance Holdings Ltd [Ahl/Pe],New York Stock Exchange,NYSE
92,AHT,Ashford Hospitality Trust Inc,New York Stock Exchange,NYSE
93,AHT-D,Ashford Hospitality TR Inc [Aht/Pd],New York Stock Exchange,NYSE
94,AHT-F,Ashford Hospitality TR Inc [Aht/Pf],New York Stock Exchange,NYSE
95,AHT-G,Ashford Hospitality TR Inc [Aht/Pg],New York Stock Exchange,NYSE
96,AHT-H,Ashford Hospitality TR Inc [Aht/Ph],New York Stock Exchange,NYSE
97,AHT-I,Ashford Hospitality TR Inc [Aht/Pi],New York Stock Exchange,NYSE
98,AI,Arlington Asset Investment Corp,New York Stock Exchange,NYSE
99,AI-B,Arlington Asset Investment Corp [Ai/Pb],New York Stock Exchange,NYSE
100,AI-C,Arlington Asset Investment Corp [Ai/Pc],New York Stock Exchange,NYSE
101,AIC,Arlington Asset Investment Cor,New York Stock Exchange,NYSE
102,AIF,Apollo Tactical Income Fund Inc,New York Stock Exchange,NYSE
103,AIG,American International Group,New York Stock Exchange,NYSE
104,AIG-A,American International Group Inc,New York Stock Exchange,NYSE
105,AIG.W,American Intl Group Inc WT [Aig/W],New York Stock Exchange,NYSE
106,AIN,Albany International Corp,New York Stock Exchange,NYSE
107,AIO,Allianzgi Artificial Intelligence &,New York Stock Exchange,NYSE
108,AIR,AAR Corp,New York Stock Exchange,NYSE
109,AIT,Applied Industrial Technologies,New York Stock Exchange,NYSE
110,AIV,Apartment Investment and Management,New York Stock Exchange,NYSE
111,AIW,Arlington Asset Investment Cor,New York Stock Exchange,NYSE
112,AIZ,Assurant Inc,New York Stock Exchange,NYSE
113,AIZP,Assurant Inc 6.50% Series D Mandatory,New York Stock Exchange,NYSE
114,AJA.U,Ajax I Unit 1 Ord Shs Cl A [Ajax.U],New York Stock Exchange,NYSE
115,AJG,Arthur J. Gallagher & Company,New York Stock Exchange,NYSE
116,AJRD,Aerojet Rocketdyne Holdings,New York Stock Exchange,NYSE
117,AJX,Great Ajax Corp,New York Stock Exchange,NYSE
118,AJXA,Great Ajax Corp 7.25% Convertible Senior,New York Stock Exchange,NYSE
119,AKO.A,Embotell Andina Sa Cl A,New York Stock Exchange,NYSE
120,AKO.B,Embotell Andna Sa Cl B,New York Stock Exchange,NYSE
121,AKR,Acadia Realty Trust,New York Stock Exchange,NYSE
122,AL,Air Lease Corp Cl A,New York Stock Exchange,NYSE
123,AL-A,Air Lease Corp [Al/Pa],New York Stock Exchange,NYSE
124,ALB,Albemarle Corp,New York Stock Exchange,NYSE
125,ALC,Alcon Inc,New York Stock Exchange,NYSE
126,ALE,Allete Inc,New York Stock Exchange,NYSE
127,ALEX,Alexander and Baldwin Inc,New York Stock Exchange,NYSE
128,ALG,Alamo Group,New York Stock Exchange,NYSE
129,ALI-A,Altera Infrastructure LP Pfd A,New York Stock Exchange,NYSE
130,ALI-B,Altera Infrastructure LP Units,New York Stock Exchange,NYSE
131,ALI-E,Altera Infrastructure LP Pfd E,New York Stock Exchange,NYSE
132,ALK,Alaska Air Group,New York Stock Exchange,NYSE
133,ALL,Allstate Corp,New York Stock Exchange,NYSE
134,ALL-B,Allstate Corp [All/Pb],New York Stock Exchange,NYSE
135,ALL-G,Allstate Corp [All/Pg],New York Stock Exchange,NYSE
136,ALL-H,Allstate Corp [All/Ph],New York Stock Exchange,NYSE
137,ALL-I,Allstate Corp [All/Pi],New York Stock Exchange,NYSE
138,ALL-Y,GMAC Capital Trust I [Ally/Pa],New York Stock Exchange,NYSE
139,ALLE,Allegion Plc,New York Stock Exchange,NYSE
140,ALLY,Ally Financial,New York Stock Exchange,NYSE
141,ALP-Q,Alabama Power CO [Alp/Pq],New York Stock Exchange,NYSE
142,ALSN,Allison Transmission Holdings,New York Stock Exchange,NYSE
143,ALT.W,Alta Equipment Group Inc [Altg/W],New York Stock Exchange,NYSE
144,ALTG,Alta Equipment Group Inc,New York Stock Exchange,NYSE
145,ALU.U,Alussa Energy Acquisition Corp [Alus.U],New York Stock Exchange,NYSE
146,ALU.W,Alussa Energy Acquisition Corp [Alus/W],New York Stock Exchange,NYSE
147,ALUS,Alussa Energy Acquisition Corp Cl A,New York Stock Exchange,NYSE
148,ALV,Autoliv Inc,New York Stock Exchange,NYSE
149,ALX,Alexander's Inc,New York Stock Exchange,NYSE
150,AM,Antero Midstream Corp,New York Stock Exchange,NYSE
151,AMB.W,Ambac Financial Group,New York Stock Exchange,NYSE
152,AMBC,Ambac Financial Group,New York Stock Exchange,NYSE
153,AMC,Amc Entertainment Holdings Inc,New York Stock Exchange,NYSE
154,AMCR,Amcor Plc,New York Stock Exchange,NYSE
155,AME,Amtek Inc,New York Stock Exchange,NYSE
156,AMG,Affiliated Managers Group,New York Stock Exchange,NYSE
157,AMH,American Homes 4 Rent,New York Stock Exchange,NYSE
158,AMH-D,American Homes 4 Rent [Amh/Pd],New York Stock Exchange,NYSE
159,AMH-E,American Homes 4 Rent [Amh/Pe],New York Stock Exchange,NYSE
160,AMH-F,American Homes 4 Rent [Amh/Pf],New York Stock Exchange,NYSE
161,AMH-G,American Homes 4 Rent [Amh/Pg],New York Stock Exchange,NYSE
162,AMH-H,American Homes 4 Rent [Amh/Ph],New York Stock Exchange,NYSE
163,AMK,Assetmark Financial Holdings Inc,New York Stock Exchange,NYSE
164,AMN,Amn Healthcare Services Inc,New York Stock Exchange,NYSE
165,AMOV,America Movil A ADR,New York Stock Exchange,NYSE
166,AMP,Ameriprise Financial Services,New York Stock Exchange,NYSE
167,AMPY,Amplify Energy Corp,New York Stock Exchange,NYSE
168,AMRC,Ameresco Inc,New York Stock Exchange,NYSE
169,AMRX,Amneal Pharmaceuticals Inc,New York Stock Exchange,NYSE
170,AMT,American Tower Corp,New York Stock Exchange,NYSE
171,AMWL,American Well Corp Cl A,New York Stock Exchange,NYSE
172,AMX,America Movil S.A.B. DE C.V.,New York Stock Exchange,NYSE
173,AN,Autonation Inc,New York Stock Exchange,NYSE
174,ANET,Arista Networks Inc,New York Stock Exchange,NYSE
175,ANF,Abercrombie & Fitch Company,New York Stock Exchange,NYSE
176,ANH,Anworth Mortgage Asset Corp,New York Stock Exchange,NYSE
177,ANH-A,Anworth Mortgage Asset Cp [Anh/Pa],New York Stock Exchange,NYSE
178,ANH-B,Anworth Mortgage Asset Cp [Anh/Pb],New York Stock Exchange,NYSE
179,ANH-C,Anworth Mortgage Asset Cp [Anh/Pc],New York Stock Exchange,NYSE
180,ANTM,Anthem Inc,New York Stock Exchange,NYSE
181,AOD,Alpine Total Dynamic Dividend,New York Stock Exchange,NYSE
182,AON,AON Plc,New York Stock Exchange,NYSE
183,AON.U,One Unit 1 Com & 1/3 WT Exp [Aone.U],New York Stock Exchange,NYSE
184,AON.W,One Corp WT [Aone/W],New York Stock Exchange,NYSE
185,AONE,One Cl A,New York Stock Exchange,NYSE
186,AOS,Smith [A.O.] Corp,New York Stock Exchange,NYSE
187,AP,Ampco-Pittsburgh Corp,New York Stock Exchange,NYSE
188,APAM,Artisan Partners Asset Mgmt,New York Stock Exchange,NYSE
189,APD,Air Products and Chemicals,New York Stock Exchange,NYSE
190,APG,Api Group Corp,New York Stock Exchange,NYSE
191,APH,Amphenol Corp,New York Stock Exchange,NYSE
192,APLE,Apple Hospitality REIT Inc,New York Stock Exchange,NYSE
193,APO,Apollo Global Management Llc C,New York Stock Exchange,NYSE
194,APO-A,Apollo Global Mgmt Inc [Apo/Pa],New York Stock Exchange,NYSE
195,APO-B,Apollo Global Mgmt Inc [Apo/Pb],New York Stock Exchange,NYSE
196,APRN,Blue Apron Holdings Inc,New York Stock Exchange,NYSE
197,APS.U,Apollo Strategic Growth Capital Unit,New York Stock Exchange,NYSE
198,APT-A,Aptiv Plc,New York Stock Exchange,NYSE
199,APTS,Preferred Apartment Communities,New York Stock Exchange,NYSE
200,APTV,Aptiv Plc,New York Stock Exchange,NYSE
201,AQN,Algonquin Pwr & Util,New York Stock Exchange,NYSE
202,AQNA,Algonquin Power & Utilities Corp,New York Stock Exchange,NYSE
203,AQNB,Algonquin Power & Utilities Corp 6.20%,New York Stock Exchange,NYSE
204,AQUA,Evoqua Water Technologies Corp,New York Stock Exchange,NYSE
205,AR,Antero Resources Corp,New York Stock Exchange,NYSE
206,ARA,American Renal Associates,New York Stock Exchange,NYSE
207,ARC,American Reprographics Company,New York Stock Exchange,NYSE
208,ARCH,Arch Coal Inc,New York Stock Exchange,NYSE
209,ARCO,Arcos Dorados Holdings Inc,New York Stock Exchange,NYSE
210,ARD,Ardagh Group S.A.,New York Stock Exchange,NYSE
211,ARDC,Ares Dynamic Credit Allocation,New York Stock Exchange,NYSE
212,ARE,Alexandria Real Estate Equities,New York Stock Exchange,NYSE
213,ARE-A,Ares Management Corp [Ares/Pa],New York Stock Exchange,NYSE
214,ARES,Ares Management LP,New York Stock Exchange,NYSE
215,ARG-A,Argo Group International Holdings Ltd,New York Stock Exchange,NYSE
216,ARGD,Argo Grp Itl Snr NTS,New York Stock Exchange,NYSE
217,ARGO,Argo Group Intl Hlds,New York Stock Exchange,NYSE
218,ARI,Apollo Commercial Real Estate,New York Stock Exchange,NYSE
219,ARL,American Realty Investors,New York Stock Exchange,NYSE
220,ARLO,Arlo Technologies Inc,New York Stock Exchange,NYSE
221,ARMK,Aramark Holdings Corp,New York Stock Exchange,NYSE
222,ARNC,Arconic Corp,New York Stock Exchange,NYSE
223,AROC,Archrock Inc,New York Stock Exchange,NYSE
224,ARR,Armour Residential R,New York Stock Exchange,NYSE
225,ARR-C,Armour Residential REIT Inc 7% Prf,New York Stock Exchange,NYSE
226,ARW,Arrow Electronics,New York Stock Exchange,NYSE
227,ASA,ASA Gold and Precious Metals,New York Stock Exchange,NYSE
228,ASA.U,Atlantic Avenue Acquisition Corp Unit,New York Stock Exchange,NYSE
229,ASA.W,Atlantic Avenue Acquisition Corp WT,New York Stock Exchange,NYSE
230,ASAN,Asana Inc Cl A,New York Stock Exchange,NYSE
231,ASAQ,Atlantic Street Acquisition Corp Cl A,New York Stock Exchange,NYSE
232,ASB,Associated Banc-Corp,New York Stock Exchange,NYSE
233,ASB-C,Associated Banc-Corp [Asb/Pc],New York Stock Exchange,NYSE
234,ASB-D,Associated Banc-Corp [Asb/Pd],New York Stock Exchange,NYSE
235,ASB-E,Associated Banc-Corp [Asb/Pe],New York Stock Exchange,NYSE
236,ASB-F,Associated Banc-Corp.,New York Stock Exchange,NYSE
237,ASC,Ardmore Shipping Corp,New York Stock Exchange,NYSE
238,ASG,Liberty All-Star Growth Fund,New York Stock Exchange,NYSE
239,ASGI,Aberdeen Standard Global Infrastructure,New York Stock Exchange,NYSE
240,ASGN,On Assignment,New York Stock Exchange,NYSE
241,ASH,Ashland Global Holdings Inc,New York Stock Exchange,NYSE
242,ASIX,Advansix Inc,New York Stock Exchange,NYSE
243,ASP.U,Aspirational Consumer Lifestyl Corp Cl A,New York Stock Exchange,NYSE
244,ASP.W,Aspirational Consumer Lifestyl Corp WT,New York Stock Exchange,NYSE
245,ASPL,Aspirational Consumer Lifestyle Corp Cl,New York Stock Exchange,NYSE
246,ASPN,Aspen Aerogels Inc,New York Stock Exchange,NYSE
247,ASR,Grupo Aeroportuario Del Sureste,New York Stock Exchange,NYSE
248,ASX,Ase Industrial Holding CO Ltd,New York Stock Exchange,NYSE
249,AT,Atlantic Power Corp,New York Stock Exchange,NYSE
250,ATA.U,Altimar Acquisition Corporation Unit,New York Stock Exchange,NYSE
251,ATC-D,Atlas Corp [Atlas/Pd],New York Stock Exchange,NYSE
252,ATC-E,Atlas Corp [Atlas/Pe],New York Stock Exchange,NYSE
253,ATC-G,Atlas Corp [Atlas/Pg],New York Stock Exchange,NYSE
254,ATC-H,Atlas Corp [Atlas/Ph],New York Stock Exchange,NYSE
255,ATC-I,Atlas Corp [Atlas/Pi],New York Stock Exchange,NYSE
256,ATCO,Atlas Corp,New York Stock Exchange,NYSE
257,ATEN,A10 Networks Inc,New York Stock Exchange,NYSE
258,ATGE,Adtalem Global Education Inc,New York Stock Exchange,NYSE
259,ATH,Athene Holding Ltd,New York Stock Exchange,NYSE
260,ATH-A,Athene Hld Ltd [Ath/Pa],New York Stock Exchange,NYSE
261,ATH-B,Antah Hlds Ltd,New York Stock Exchange,NYSE
262,ATH-C,Athene Hldg Ltd,New York Stock Exchange,NYSE
263,ATHM,Autohome Inc,New York Stock Exchange,NYSE
264,ATI,Allegheny Technologies Inc,New York Stock Exchange,NYSE
265,ATKR,Atkore International Group,New York Stock Exchange,NYSE
266,ATO,Atmos Energy Corp,New York Stock Exchange,NYSE
267,ATR,Aptargroup,New York Stock Exchange,NYSE
268,ATTO,Atento S.A.,New York Stock Exchange,NYSE
269,ATUS,Altice USA Inc Cl A,New York Stock Exchange,NYSE
270,ATV,Acorn International,New York Stock Exchange,NYSE
271,AU,Anglogold Ashanti Ltd,New York Stock Exchange,NYSE
272,AUY,Yamana Gold,New York Stock Exchange,NYSE
273,AVA,Avista Corp,New York Stock Exchange,NYSE
274,AVA.U,Avanti Acquisition Corp Unit [Avan.U],New York Stock Exchange,NYSE
275,AVAL,Grupo Aval Acciones Y Valores S,New York Stock Exchange,NYSE
276,AVB,Avalonbay Communities,New York Stock Exchange,NYSE
277,AVD,American Vanguard Corp,New York Stock Exchange,NYSE
278,AVK,Advent Claymore Convertible Securities,New York Stock Exchange,NYSE
279,AVLR,Avalara Inc,New York Stock Exchange,NYSE
280,AVNS,Avanos Medical Inc,New York Stock Exchange,NYSE
281,AVNT,Avient Corp,New York Stock Exchange,NYSE
282,AVT-A,Avantor Inc [Avtr/Pa],New York Stock Exchange,NYSE
283,AVTR,Avantor Inc,New York Stock Exchange,NYSE
284,AVY,Avery Dennison Corp,New York Stock Exchange,NYSE
285,AVYA,Avaya Holdings Corp,New York Stock Exchange,NYSE
286,AWF,Alliancebernstein Global High Income,New York Stock Exchange,NYSE
287,AWI,Armstrong World Industries Inc,New York Stock Exchange,NYSE
288,AWK,American Water Works,New York Stock Exchange,NYSE
289,AWP,Alpine Global Premier Propertie,New York Stock Exchange,NYSE
290,AWR,American States Water Company,New York Stock Exchange,NYSE
291,AX,Axos Financial Inc,New York Stock Exchange,NYSE
292,AXL,American Axle & Manufacturing,New York Stock Exchange,NYSE
293,AXO,Axos Financial Inc,New York Stock Exchange,NYSE
294,AXP,American Express Company,New York Stock Exchange,NYSE
295,AXR,Amrep Corp,New York Stock Exchange,NYSE
296,AXS,Axis Capital Holdings,New York Stock Exchange,NYSE
297,AXS-E,Axis Capital Holdings Ltd [Axs/Pe],New York Stock Exchange,NYSE
298,AXTA,Axalta Coating Systems Ltd,New York Stock Exchange,NYSE
299,AYI,Acuity Brands Inc,New York Stock Exchange,NYSE
300,AYX,Alteryx Inc,New York Stock Exchange,NYSE
301,AZEK,The Azek Company Inc Cl A,New York Stock Exchange,NYSE
302,AZO,Autozone,New York Stock Exchange,NYSE
303,AZRE,Azure Power Global Ltd,New York Stock Exchange,NYSE
304,AZUL,Azul S.A. ADR,New York Stock Exchange,NYSE
305,AZZ,Azz Inc,New York Stock Exchange,NYSE
306,B,Barnes Group,New York Stock Exchange,NYSE
307,BA,Boeing Company,New York Stock Exchange,NYSE
308,BABA,Alibaba Group Holding,New York Stock Exchange,NYSE
309,BAC,Bank of America Corp,New York Stock Exchange,NYSE
310,BAC-A,Bank of America Corp [Bac/Pa],New York Stock Exchange,NYSE
311,BAC-B,Bank of America Corp [Bac/Pb],New York Stock Exchange,NYSE
312,BAC-C,Bank of America Corp [Bac/Pc],New York Stock Exchange,NYSE
313,BAC-E,Bank of America Corp [Bac/Pe],New York Stock Exchange,NYSE
314,BAC-K,Bank of America Corp [Bac/Pk],New York Stock Exchange,NYSE
315,BAC-L,Bank of America Corp [Bac/Pl],New York Stock Exchange,NYSE
316,BAC-M,Bank of America Corp [Bac/Pm],New York Stock Exchange,NYSE
317,BAC-N,Bank of America Corp Prf Perpetual USD,New York Stock Exchange,NYSE
318,BAC-O,Bank of America Corp,New York Stock Exchange,NYSE
319,BAF,Blackrock Income Inv Quality Trust,New York Stock Exchange,NYSE
320,BAH,Booz Allen Hamilton Holding Corp,New York Stock Exchange,NYSE
321,BAK,Braskem S.A.,New York Stock Exchange,NYSE
322,BALY,Bally's Corp,New York Stock Exchange,NYSE
323,BAM,Brookfield Asset Management Inc,New York Stock Exchange,NYSE
